Date,Month,Year,Graphing Label,Total Jobs (private and government),Private Sector (total),"Mining, Logging and Construction",Manufacturing (total),Manufacturing (durable goods),Manufacturing (non-durable goods),"Trade, Transportation, and Utilities (total)","Trade, Transportation, and Utilities (wholesale trade)","Trade, Transportation, and Utilities (retail trade)","Trade, Transportation, and Utilities (transportation, warehousing, and utilities)",Information,Financial Activities (total),Financial Activities (finance and insurance),Financial Activities (real estate and rental and leasing),Professional and Business Services (total),"Professional and Business Services (professional, scientific, and technical services)",Professional and Business Services (management of companies and enterprises),Professional and Business Services (administrative and support and waste management and remediation services),Education and Health Services (total),Education and Health Services (educational services),Education and Health Services (health care and social assistance),Leisure and Hospitality (total),"Leisure and Hospitality (arts, entertainment, and recreation)",Leisure and Hospitality (accommodation and food services),Other Services,Government (total),Government (federal),Government (state),Government (local)
05/01/2018 12:00:00 AM,May,2018,May 2018,"2,747,400","2,241,400","163,900","109,400","57,900","51,500","469,200","85,100","287,000","97,100","36,500","146,800","99,500","47,300","451,800","252,000","27,600","27,600","467,900","90,800","377,100","281,700","46,800","234,900","114,200","506,000","144,900","109,900","251,200"
06/01/2018 12:00:00 AM,Jun,2018,Jun 2018,"2,752,000","2,244,100","163,500","109,700","57,900","51,800","469,900","85,400","286,800","97,700","36,600","146,300","99,200","47,100","452,400","252,200","27,700","27,700","469,100","91,000","378,100","282,300","47,000","235,300","114,300","507,900","145,000","110,400","252,500"
07/01/2018 12:00:00 AM,Jul,2018,Jul 2018,"2,757,600","2,249,400","164,800","110,300","58,100","52,200","470,400","85,700","287,200","97,500","36,000","146,100","99,200","46,900","454,400","252,400","27,900","27,900","468,800","91,200","377,600","283,900","47,700","236,200","114,700","508,200","144,900","111,000","252,300"
08/01/2018 12:00:00 AM,Aug,2018,Aug 2018,"2,758,300","2,249,100","165,000","110,400","58,200","52,200","469,800","85,800","286,600","97,400","36,000","145,700","98,900","46,800","454,800","252,200","28,100","28,100","469,300","91,200","378,100","283,600","46,700","236,900","114,500","509,200","144,700","112,400","252,100"
09/01/2018 12:00:00 AM,Sep,2018,Sep 2018,"2,756,100","2,249,200","165,000","110,700","58,200","52,500","469,600","86,000","286,300","97,300","35,500","145,500","98,800","46,700","455,700","253,100","28,200","28,200","469,700","91,300","378,400","283,400","46,100","237,300","114,100","506,900","144,800","109,900","252,200"
10/01/2018 12:00:00 AM,Oct,2018,Oct 2018,"2,758,400","2,252,200","165,200","111,000","58,300","52,700","471,000","86,100","286,500","98,400","35,900","144,900","98,300","46,600","456,300","254,200","28,300","28,300","470,400","91,500","378,900","282,800","45,700","237,100","114,700","506,200","144,600","110,900","250,700"
11/01/2018 12:00:00 AM,Nov,2018,Nov 2018,"2,762,000","2,257,300","165,100","111,000","58,100","52,900","474,000","86,000","290,400","97,600","35,800","144,900","98,300","46,600","457,500","254,500","28,500","28,500","471,600","91,600","380,000","282,500","45,500","237,000","114,900","504,700","144,400","109,500","250,800"
12/01/2018 12:00:00 AM,Dec,2018,Dec 2018,"2,759,700","2,254,200","165,100","111,100","58,200","52,900","472,800","86,200","289,400","97,200","35,400","144,400","98,000","46,400","457,200","254,100","28,600","28,600","470,300","91,500","378,800","283,100","45,500","237,600","114,800","505,500","144,300","109,900","251,300"
01/01/2019 12:00:00 AM,Jan,2019,Jan 2019,"2,769,400","2,261,800","168,100","111,500","58,200","53,300","470,900","86,700","283,300","100,900","35,600","144,500","97,900","46,600","460,500","256,600","28,700","28,700","473,100","92,000","381,100","282,700","45,400","237,300","114,900","507,600","144,800","110,700","252,100"
02/01/2019 12:00:00 AM,Feb,2019,Feb 2019,"2,768,100","2,262,000","167,400","111,900","58,100","53,800","469,900","86,700","282,300","100,900","35,300","144,400","97,800","46,600","461,900","257,000","28,800","28,800","473,800","91,900","381,900","282,400","45,200","237,200","115,000","506,100","144,900","109,900","251,300"
03/01/2019 12:00:00 AM,Mar,2019,Mar 2019,"2,769,700","2,263,200","167,500","112,100","58,100","54,000","470,400","86,900","282,700","100,800","35,600","144,300","97,700","46,600","461,400","256,600","28,800","28,800","474,100","92,000","382,100","282,800","45,300","237,500","115,000","506,500","145,100","110,100","251,300"
04/01/2019 12:00:00 AM,Apr,2019,Apr 2019,"2,768,000","2,261,600","166,800","112,600","58,000","54,600","468,200","86,800","280,400","101,000","35,400","144,000","97,600","46,400","462,300","258,300","29,000","29,000","474,000","91,500","382,500","283,200","45,100","238,100","115,100","506,400","145,000","110,600","250,800"
05/01/2019 12:00:00 AM,May,2019,May 2019,"2,768,300","2,260,500","166,900","112,500","58,000","54,500","468,300","86,700","280,100","101,500","35,200","143,700","97,300","46,400","462,300","258,600","28,700","28,700","473,800","91,400","382,400","282,800","45,400","237,400","115,000","507,800","145,500","112,000","250,300"
06/01/2019 12:00:00 AM,Jun,2019,Jun 2019,"2,767,000","2,261,300","166,800","113,000","58,400","54,600","467,700","86,400","279,100","102,200","35,400","143,300","97,200","46,100","463,100","258,899","28,700","28,700","474,100","91,400","382,700","283,000","45,200","237,800","114,900","505,700","145,200","109,400","251,100"
07/01/2019 12:00:00 AM,Jul,2019,Jul 2019,"2,769,200","2,262,000","166,500","113,200","58,300","54,900","468,700","86,400","279,000","103,300","35,500","143,500","97,100","46,400","463,000","259,700","28,600","28,600","474,100","91,000","383,100","282,800","44,500","238,300","114,700","507,200","145,600","110,700","250,900"
08/01/2019 12:00:00 AM,Aug,2019,Aug 2019,"2,767,800","2,262,000","166,900","113,400","58,300","55,100","468,900","86,300","278,700","103,900","35,600","143,100","96,700","46,400","463,500","260,300","28,600","28,600","474,100","90,800","383,300","281,500","44,200","237,300","115,000","505,800","146,100","110,300","249,400"
09/01/2019 12:00:00 AM,Sep,2019,Sep 2019,"2,765,900","2,258,700","166,900","113,400","58,300","55,100","468,700","86,100","278,200","104,400","35,400","142,800","96,400","46,400","463,000","260,000","28,600","28,600","473,700","90,600","383,100","279,900","43,800","236,100","114,900","507,200","146,100","111,500","249,600"
10/01/2019 12:00:00 AM,Oct,2019,Oct 2019,"2,765,300","2,260,800","167,600","114,100","58,900","55,200","473,400","88,000","281,900","103,500","35,500","143,600","96,600","47,000","463,500","256,200","28,500","28,500","469,400","88,800","380,600","278,700","44,500","234,200","115,000","504,500","146,500","110,200","247,800"
11/01/2019 12:00:00 AM,Nov,2019,Nov 2019,"2,776,100","2,270,400","168,900","113,800","58,900","54,900","473,300","87,500","282,500","103,300","35,200","143,300","96,300","47,000","468,200","260,899","28,400","28,400","469,900","88,300","381,600","283,300","45,600","237,700","114,500","505,700","147,300","110,600","247,800"
12/01/2019 12:00:00 AM,Dec,2019,Dec 2019,"2,784,200","2,278,700","170,200","113,600","59,000","54,600","473,300","88,200","282,400","102,700","34,300","143,800","96,700","47,100","469,800","262,100","28,500","28,500","472,300","89,400","382,900","285,500","47,000","238,500","115,900","505,500","146,900","110,500","248,100"
